"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавление всех доступных товаров в корзину","1062","Добавление всех доступных товаров в корзину","Surefire suite","Sun May 24 19:19:56 UTC 2026","passed","Sun May 24 19:19:57 UTC 2026","tests.AddToCartTest","Surefire test","tests.AddToCartTest","addToCartMax"
"Проверка ошибки при пустом пароле","452","Проверка ошибки при пустом пароле","Surefire suite","Sun May 24 19:19:50 UTC 2026","passed","Sun May 24 19:19:50 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Добавление и удаление товара из корзины","2490","Добавление и удаление товара из корзины","Surefire suite","Sun May 24 19:19:43 UTC 2026","passed","Sun May 24 19:19:46 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemLast"
"Негативные проверки логина","529","Негативные проверки логина","Surefire suite","Sun May 24 19:19:55 UTC 2026","passed","Sun May 24 19:19:55 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"Успешный вход в систему","495","Успешный вход в систему","Surefire suite","Sun May 24 19:19:52 UTC 2026","passed","Sun May 24 19:19:52 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveValue"
"Негативные проверки логина","504","Негативные проверки логина","Surefire suite","Sun May 24 19:19:53 UTC 2026","passed","Sun May 24 19:19:53 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"Проверка ошибки при пустом логине","464","Проверка ошибки при пустом логине","Surefire suite","Sun May 24 19:19:50 UTC 2026","passed","Sun May 24 19:19:51 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"","481","checkLocator","Surefire suite","Sun May 24 19:19:58 UTC 2026","passed","Sun May 24 19:19:59 UTC 2026","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"Удаление одного из нескольких товаров со страницы каталога","1517","Удаление одного из нескольких товаров со страницы каталога","Surefire suite","Sun May 24 19:19:48 UTC 2026","passed","Sun May 24 19:19:49 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemOfManyFromProductPage"
"Негативные проверки логина","525","Негативные проверки логина","Surefire suite","Sun May 24 19:19:54 UTC 2026","passed","Sun May 24 19:19:54 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"Добавление одного товара в корзину","726","Добавление одного товара в корзину","Surefire suite","Sun May 24 19:19:57 UTC 2026","passed","Sun May 24 19:19:58 UTC 2026","tests.AddToCartTest","Surefire test","tests.AddToCartTest","addToCartOne"
"Удаление одного из нескольких товаров прямо в корзине","1298","Удаление одного из нескольких товаров прямо в корзине","Surefire suite","Sun May 24 19:19:46 UTC 2026","passed","Sun May 24 19:19:47 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemOfManyFromCart"
"Проверка ошибки при неверных данных","461","Проверка ошибки при неверных данных","Surefire suite","Sun May 24 19:19:51 UTC 2026","passed","Sun May 24 19:19:52 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
